wall_time,ros_time_sec,event,mode,stable_gesture,nav_lin_x,nav_ang_z,out_lin_x,out_ang_z
2026-04-27T20:35:32,1777336532.032,estop_fist,IDLE,Fist,0.2084,0.6923,0.0000,0.0000
2026-04-27T20:35:34,1777336534.982,pass_nav,NAV,OpenPalm,0.2200,0.0769,0.2200,0.0769
2026-04-27T20:35:36,1777336536.534,estop_fist,IDLE,Fist,0.2200,0.0000,0.0000,0.0000
2026-04-27T20:35:40,1777336540.132,speed_limit,IDLE,ThumbUp,0.2084,0.0000,0.0938,0.0000
2026-04-27T20:35:40,1777336540.233,correct_left,IDLE,PointLeft,0.2200,0.0000,0.2200,0.3500
2026-04-27T20:35:43,1777336543.934,correct_right,IDLE,PointRight,0.2200,-0.0769,0.2200,-0.4269
2026-04-27T20:35:47,1777336547.282,correct_left,IDLE,PointLeft,0.2200,0.0000,0.2200,0.3500
2026-04-27T20:35:47,1777336547.383,speed_limit,IDLE,ThumbUp,0.2200,0.2308,0.0990,0.1038
2026-04-27T20:35:47,1777336547.532,estop_fist,IDLE,Fist,0.2084,0.2308,0.0000,0.0000
2026-04-27T20:35:48,1777336548.784,pass_nav,NAV,OpenPalm,0.2200,-0.1282,0.2200,-0.1282
2026-04-27T20:35:50,1777336550.332,correct_right,NAV,PointRight,0.2200,-0.1282,0.2200,-0.4782
2026-04-27T20:35:52,1777336552.382,estop_fist,IDLE,Fist,0.0463,0.1795,0.0000,0.0000
2026-04-27T20:35:52,1777336552.784,pass_nav,IDLE,None,0.0463,-0.0256,0.0463,-0.0256
2026-04-27T20:36:06,1777336566.388,estop_fist,IDLE,Fist,0.2200,0.1282,0.0000,0.0000
2026-04-27T20:36:08,1777336568.283,speed_limit,IDLE,ThumbUp,0.1968,-0.1795,0.0886,-0.0808
2026-04-27T20:36:08,1777336568.433,pass_nav,IDLE,OpenPalm,0.2200,-0.2308,0.2200,-0.2308
2026-04-27T20:36:10,1777336570.082,correct_left,IDLE,PointLeft,0.2200,0.0256,0.2200,0.3756
2026-04-27T20:36:12,1777336572.882,speed_limit,IDLE,ThumbUp,0.2200,-0.8462,0.0990,-0.3808
2026-04-27T20:36:12,1777336572.982,pass_nav,IDLE,OpenPalm,0.2200,-0.7949,0.2200,-0.7949
2026-04-27T20:36:15,1777336575.682,correct_right,IDLE,PointRight,0.2200,-0.0256,0.2200,-0.3756
2026-04-27T20:36:18,1777336578.183,pass_nav,IDLE,OpenPalm,0.2200,0.2308,0.2200,0.2308
2026-04-27T20:36:19,1777336579.632,estop_fist,IDLE,Fist,0.2084,-0.5897,0.0000,0.0000
2026-04-27T20:36:31,1777336591.282,correct_left,IDLE,PointLeft,0.1968,-0.3846,0.1968,-0.0346
2026-04-27T20:36:34,1777336594.984,pass_nav,IDLE,OpenPalm,0.2200,-0.1795,0.2200,-0.1795
2026-04-27T20:36:37,1777336597.382,correct_left,IDLE,PointLeft,0.2200,0.1795,0.2200,0.5295
2026-04-27T20:36:37,1777336597.583,correct_right,IDLE,PointRight,0.1968,0.1795,0.1968,-0.1705
2026-04-27T20:36:40,1777336600.284,pass_nav,IDLE,OpenPalm,0.2084,0.4872,0.2084,0.4872
2026-04-27T20:36:52,1777336612.133,estop_fist,IDLE,Fist,0.2200,-0.8462,0.0000,0.0000
2026-04-27T20:36:57,1777336617.284,speed_limit,IDLE,ThumbUp,0.1968,0.1282,0.0886,0.0577
2026-04-27T20:36:57,1777336617.432,pass_nav,IDLE,OpenPalm,0.2200,0.1795,0.2200,0.1795
2026-04-27T20:36:59,1777336619.533,estop_fist,IDLE,Fist,0.2084,0.0769,0.0000,0.0000
2026-04-27T20:37:03,1777336623.332,speed_limit,IDLE,ThumbUp,0.1968,-0.0769,0.0886,-0.0346
2026-04-27T20:37:03,1777336623.432,correct_left,IDLE,PointLeft,0.2084,-0.0256,0.2084,0.3244
2026-04-27T20:37:05,1777336625.883,correct_right,IDLE,PointRight,0.2200,-0.1795,0.2200,-0.5295
2026-04-27T20:37:09,1777336629.182,pass_nav,IDLE,OpenPalm,0.2200,0.3333,0.2200,0.3333
2026-04-27T20:37:11,1777336631.182,correct_right,IDLE,PointRight,0.2200,0.1795,0.2200,-0.1705
2026-04-27T20:37:14,1777336634.184,pass_nav,IDLE,OpenPalm,0.2200,0.0256,0.2200,0.0256
2026-04-27T20:37:14,1777336634.633,correct_right,IDLE,PointRight,0.2200,0.0769,0.2200,-0.2731
2026-04-27T20:37:14,1777336634.932,correct_left,IDLE,PointLeft,0.2200,-0.0256,0.2200,0.3244
2026-04-27T20:37:20,1777336640.132,pass_nav,IDLE,OpenPalm,0.2200,-0.1282,0.2200,-0.1282
2026-04-27T20:37:40,1777336660.032,estop_fist,IDLE,Fist,0.2200,0.1795,0.0000,0.0000
2026-04-27T20:37:42,1777336662.133,pass_nav,NAV,OpenPalm,0.2200,-0.0256,0.2200,-0.0256
2026-04-27T20:37:43,1777336663.782,speed_limit,NAV,ThumbUp,0.2200,-0.2308,0.0990,-0.1038
2026-04-27T20:37:43,1777336663.932,estop_fist,IDLE,Fist,0.1968,-0.2308,0.0000,0.0000
2026-04-27T20:37:47,1777336667.582,correct_left,IDLE,PointLeft,0.2084,-0.5385,0.2084,-0.1885
2026-04-27T20:37:49,1777336669.983,correct_right,IDLE,PointRight,0.2200,-0.2308,0.2200,-0.5808
2026-04-27T20:37:52,1777336672.232,speed_limit,IDLE,TwoFingers,0.2084,0.1282,0.0938,0.0577
2026-04-27T20:37:57,1777336677.333,pass_nav,IDLE,OpenPalm,0.1968,-0.0256,0.1968,-0.0256
2026-04-27T20:37:59,1777336679.282,correct_left,IDLE,PointLeft,0.2084,-0.0256,0.2084,0.3244
2026-04-27T20:38:08,1777336688.332,pass_nav,IDLE,None,0.0000,-0.6923,0.0000,-0.6923
2026-04-27T20:38:14,1777336694.034,correct_right,IDLE,PointRight,0.0000,0.0000,0.0000,-0.3500
2026-04-27T20:38:14,1777336694.532,pass_nav,IDLE,None,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:38:24,1777336704.432,estop_fist,IDLE,Fist,0.2200,1.0000,0.0000,0.0000
2026-04-27T20:38:26,1777336706.133,pass_nav,NAV,OpenPalm,0.2200,0.4359,0.2200,0.4359
2026-04-27T20:38:28,1777336708.282,estop_fist,IDLE,Fist,0.2200,0.1282,0.0000,0.0000
2026-04-27T20:38:42,1777336722.035,speed_limit,IDLE,ThumbUp,0.2200,0.1795,0.0990,0.0808
2026-04-27T20:38:42,1777336722.232,estop_fist,IDLE,Fist,0.2200,0.1795,0.0000,0.0000
2026-04-27T20:38:52,1777336732.383,pass_nav,NAV,OpenPalm,0.2200,0.0769,0.2200,0.0769
2026-04-27T20:38:52,1777336732.532,estop_fist,IDLE,Fist,0.2200,0.0769,0.0000,0.0000
2026-04-27T20:38:55,1777336735.583,speed_limit,IDLE,ThumbUp,0.2200,0.0769,0.0990,0.0346
2026-04-27T20:38:56,1777336736.532,estop_fist,IDLE,Fist,0.2084,0.0769,0.0000,0.0000
2026-04-27T20:39:05,1777336745.432,speed_limit,IDLE,ThumbUp,0.0000,1.0000,0.0000,0.4500
2026-04-27T20:39:05,1777336745.932,estop_fist,IDLE,Fist,0.0000,1.0000,0.0000,0.0000
2026-04-27T20:39:09,1777336749.733,speed_limit,IDLE,ThumbUp,0.0000,1.0000,0.0000,0.4500
2026-04-27T20:39:09,1777336749.935,correct_left,IDLE,PointLeft,0.0000,0.0000,0.0000,0.3500
2026-04-27T20:39:21,1777336761.932,speed_limit,IDLE,ThumbUp,0.2200,-0.3846,0.0990,-0.1731
2026-04-27T20:39:22,1777336762.532,pass_nav,IDLE,OpenPalm,0.2200,-0.2821,0.2200,-0.2821
2026-04-27T20:39:23,1777336763.982,correct_right,IDLE,PointRight,0.2084,0.1795,0.2084,-0.1705
2026-04-27T20:39:25,1777336765.082,correct_left,IDLE,PointLeft,0.2200,0.4359,0.2200,0.7859
2026-04-27T20:39:27,1777336767.484,pass_nav,IDLE,OpenPalm,0.1274,-0.7436,0.1274,-0.7436
2026-04-27T20:39:41,1777336781.183,estop_fist,IDLE,Fist,0.2200,-0.2821,0.0000,0.0000
2026-04-27T20:39:46,1777336786.583,speed_limit,IDLE,ThumbUp,0.1968,0.2821,0.0886,0.1269
2026-04-27T20:39:46,1777336786.683,pass_nav,IDLE,OpenPalm,0.1968,0.2821,0.1968,0.2821
2026-04-27T20:39:48,1777336788.382,correct_left,IDLE,PointLeft,0.2200,0.0256,0.2200,0.3756
2026-04-27T20:40:02,1777336802.382,correct_right,IDLE,PointRight,0.2084,-0.4872,0.2084,-0.8372
2026-04-27T20:40:04,1777336804.235,pass_nav,IDLE,OpenPalm,0.1621,0.2821,0.1621,0.2821
2026-04-27T20:40:20,1777336820.032,estop_fist,IDLE,Fist,0.2200,-0.1282,0.0000,0.0000
2026-04-27T20:40:24,1777336824.732,speed_limit,IDLE,ThumbUp,0.2084,0.1282,0.0938,0.0577
2026-04-27T20:40:24,1777336824.932,correct_left,IDLE,PointLeft,0.2200,-0.0769,0.2200,0.2731
2026-04-27T20:40:27,1777336827.933,pass_nav,IDLE,OpenPalm,0.2084,-0.0769,0.2084,-0.0769
2026-04-27T20:40:33,1777336833.682,speed_limit,IDLE,TwoFingers,0.2200,-0.0256,0.0990,-0.0115
2026-04-27T20:40:39,1777336839.685,pass_nav,IDLE,OpenPalm,0.2084,0.2308,0.2084,0.2308
2026-04-27T20:40:42,1777336842.232,correct_right,IDLE,PointRight,0.2084,-0.1795,0.2084,-0.5295
2026-04-27T20:40:47,1777336847.282,pass_nav,IDLE,OpenPalm,0.1968,0.2308,0.1968,0.2308
2026-04-27T20:41:02,1777336862.332,estop_fist,IDLE,Fist,0.1737,1.0000,0.0000,0.0000
2026-04-27T20:41:19,1777336879.085,speed_limit,IDLE,ThumbUp,0.2200,-0.0256,0.0990,-0.0115
2026-04-27T20:41:19,1777336879.232,pass_nav,IDLE,OpenPalm,0.2200,0.1282,0.2200,0.1282
2026-04-27T20:41:21,1777336881.232,estop_fist,IDLE,Fist,0.2200,-0.0256,0.0000,0.0000
2026-04-27T20:41:23,1777336883.434,pass_nav,NAV,OpenPalm,0.2084,0.2308,0.2084,0.2308
2026-04-27T20:41:25,1777336885.482,estop_fist,IDLE,Fist,0.2200,0.1282,0.0000,0.0000
2026-04-27T20:41:30,1777336890.082,speed_limit,IDLE,ThumbUp,0.2200,0.3333,0.0990,0.1500
2026-04-27T20:41:30,1777336890.232,pass_nav,IDLE,OpenPalm,0.2200,0.3333,0.2200,0.3333
2026-04-27T20:41:32,1777336892.882,correct_left,IDLE,PointLeft,0.2200,0.2308,0.2200,0.5808
2026-04-27T20:41:37,1777336897.032,pass_nav,IDLE,OpenPalm,0.2200,-0.1282,0.2200,-0.1282
2026-04-27T20:42:06,1777336926.482,estop_fist,IDLE,Fist,0.1853,1.0000,0.0000,0.0000
2026-04-27T20:42:12,1777336932.632,pass_nav,NAV,OpenPalm,0.2200,0.0000,0.2200,0.0000
2026-04-27T20:42:14,1777336934.533,speed_limit,NAV,TwoFingers,0.2200,-0.2821,0.0990,-0.1269
2026-04-27T20:42:16,1777336936.732,correct_left,NAV,PointLeft,0.1968,-0.6923,0.1968,-0.3423
2026-04-27T20:42:17,1777336937.182,correct_right,NAV,PointRight,0.2200,-0.6923,0.2200,-1.0423
2026-04-27T20:42:19,1777336939.987,speed_limit,NAV,ThumbUp,0.2200,0.3846,0.0990,0.1731
2026-04-27T20:42:20,1777336940.134,correct_left,NAV,PointLeft,0.2200,0.3333,0.2200,0.6833
2026-04-27T20:42:23,1777336943.333,pass_nav,NAV,OpenPalm,0.2200,-0.2308,0.2200,-0.2308
2026-04-27T20:42:24,1777336944.735,correct_right,NAV,PointRight,0.2200,-0.3333,0.2200,-0.6833
2026-04-27T20:42:26,1777336946.084,pass_nav,NAV,OpenPalm,0.1158,0.1282,0.1158,0.1282
2026-04-27T20:42:44,1777336964.636,estop_fist,IDLE,Fist,0.1274,-0.8462,0.0000,0.0000
2026-04-27T20:42:48,1777336968.532,speed_limit,IDLE,ThumbUp,0.2200,-1.0000,0.0990,-0.4500
